investment,expected_return,impact_score,viability
157051.65,273031.3,8.0,1
93386.9,211413.6,9.75,1
173133.6,83431.64,5.51,0
142499.93,290907.03,2.3,0
27893.7,234731.52,1.13,0
195368.25,216482.61,3.07,0
154616.54,137561.64,2.19,0
159352.22,85311.26,7.1,0
34341.59,33435.33,2.1,0
95573.33,271267.71,5.56,1
80451.62,139454.01,7.25,1
186085.35,64697.19,6.23,0
132334.37,95257.2,2.8,0
166324.71,175869.77,8.24,1
94248.7,57147.97,7.44,0
53175.36,257701.21,7.65,1
115371.11,228763.26,2.18,0
22125.28,217241.57,2.11,0
167249.92,132467.45,9.35,0
130016.24,190056.11,4.58,0
154036.67,177308.9,3.71,0
77359.93,196704.75,5.4,1
194432.62,29911.07,6.97,0
179693.01,127663.18,9.6,0
157892.86,17276.18,3.58,0
46981.35,150727.29,9.32,1
98676.99,102309.06,1.22,0
18322.72,47634.64,6.0,1
39315.0,35503.88,6.71,0
139779.3,178355.15,1.95,0
151504.81,55324.93,2.26,0
193826.85,277910.43,4.77,0
71906.82,176413.04,9.7,1
80387.34,107326.59,6.36,1
99215.6,179320.07,9.4,1
45999.56,11727.14,8.24,0
34685.09,287774.97,5.21,1
100383.94,147279.51,8.06,1
53112.78,235906.89,1.16,0
137264.66,29405.35,1.98,0
93058.86,148564.21,8.46,1
168208.86,149758.56,8.17,0
143050.37,281658.8,3.09,0
69349.66,173659.78,5.78,1
168129.36,144679.37,6.45,0
162905.23,83757.82,8.81,0
83620.89,102812.85,6.43,1
64782.34,158598.36,4.71,0
139674.15,134478.88,4.37,0
36552.97,11375.56,4.83,0
47982.56,248756.12,6.87,1
11398.83,269367.43,8.81,1
159515.63,46373.48,5.09,0
136321.66,168440.66,3.23,0
143981.42,37029.84,3.13,0
158338.52,203310.83,7.71,1
97194.0,87963.97,8.35,0
118060.83,199529.68,1.95,0
36561.43,219463.41,1.6,0
31760.71,231751.01,6.35,1
136996.56,36783.58,2.32,0
99508.28,275223.49,8.42,1
117394.86,72913.13,3.79,0
155349.78,16036.7,2.29,0
130596.48,168681.48,9.29,1
115180.09,114422.07,2.49,0
116249.36,249787.97,3.56,0
67750.52,243434.18,2.38,0
15855.39,98555.97,2.04,0
92976.3,286105.32,1.19,0
50771.09,90820.76,1.5,0
87620.44,156941.85,2.57,0
172146.58,80509.7,1.48,0
54448.5,281132.85,6.32,1
21077.52,53559.31,7.13,1
63462.94,18248.63,4.54,0
65782.81,133353.63,3.86,0
135764.14,297750.79,5.54,1
115836.11,268044.79,8.88,1
158940.66,225839.37,8.66,1
136219.57,267783.78,1.39,0
87213.5,268566.76,2.63,0
164663.87,158063.22,3.13,0
41724.85,98199.07,3.24,0
14315.29,232743.67,6.14,1
27109.09,200190.07,4.75,0
147248.28,115229.03,1.44,0
97756.67,32867.67,4.36,0
40641.64,225302.94,5.71,1
105198.51,82425.85,1.92,0
38939.3,281359.88,8.5,1
142300.87,76086.32,1.47,0
94769.69,41213.59,9.32,0
82394.03,250178.24,1.89,0
67287.3,50218.87,8.59,0
129753.69,57884.15,9.12,0
78744.4,181817.92,9.82,1
26653.48,262995.8,8.22,1
32421.12,62948.23,8.02,1
192760.56,96545.48,6.78,0
